,Performer,Song,Tag,Type
383,Kris Allen,Live Like We're Dying,Hanging Out,Hits
384,Tim McGraw,Humble And Kind,Children,Hits
385,Tim McGraw,Humble And Kind,Parenthood,Hits
386,Tim McGraw,Humble And Kind,Reflection,Hits
387,Childish Gambino,Redbone,Affirmation,Hits
388,Childish Gambino,Redbone,Daydreaming,Hits
389,Childish Gambino,Redbone,Illness,Hits
390,Childish Gambino,Redbone,Late Night,Hits
391,Childish Gambino,Redbone,Summer,Hits
392,Justin Bieber,One Time,Affection/Fondness,Hits
393,Justin Bieber,One Time,Hanging Out,Hits
394,Justin Bieber,One Time,New Love,Hits
395,Uncle Kracker,Smile,Affection/Fondness,Hits
396,Uncle Kracker,Smile,Comfort,Hits
397,Uncle Kracker,Smile,Early Morning,Hits
398,Lady Antebellum,American Honey,Reflection,Hits
399,Lady Antebellum,American Honey,Reminiscing,Hits
400,Lady Antebellum,American Honey,Summer,Hits
401,Lady Gaga,LoveGame,Club,Hits
402,Lady Gaga,LoveGame,Girls Night Out,Hits
403,Lady Gaga,LoveGame,Late Night,Hits
404,Lady Gaga,LoveGame,Seduction,Hits
405,Lady Gaga,LoveGame,Sex,Hits
406,Lady Gaga,LoveGame,TGIF,Hits
407,OneRepublic,Secrets,Freedom,Hits
408,OneRepublic,Secrets,Motivation,Hits
409,OneRepublic,Secrets,Victory,Hits
410,Kendrick Lamar,Swimming Pools (Drank),Despair,Hits
411,Kendrick Lamar,Swimming Pools (Drank),Drinking,Hits
412,Kendrick Lamar,Swimming Pools (Drank),Tragedy,Hits
413,Ne-Yo,Miss Independent,In Love,Hits
414,Ne-Yo,Miss Independent,Romantic Evening,Hits
415,Ne-Yo,Miss Independent,Seduction,Hits
416,Ne-Yo,Miss Independent,Freedom,Hits
417,P!nk,So What,Empowering,Hits
418,P!nk,So What,Girls Night Out,Hits
419,P!nk,So What,TGIF,Hits
420,Alicia Keys,Try Sleeping With A Broken Heart,Breakup,Hits
421,Alicia Keys,Try Sleeping With A Broken Heart,Empowering,Hits
422,Alicia Keys,Try Sleeping With A Broken Heart,Girls Night Out,Hits
423,DJ Snake & Lil Jon,Turn Down For What,Seduction,Hits
424,DJ Snake & Lil Jon,Turn Down For What,Sex,Hits
425,David Guetta Featuring Nicki Minaj,Turn Me On,Dreaming,Hits
426,David Guetta Featuring Nicki Minaj,Turn Me On,Playful,Hits
427,Keri Hilson Featuring Lil Wayne,Turnin Me On,Girls Night Out,Hits
428,Keri Hilson Featuring Lil Wayne,Turnin Me On,Club,Hits
429,Keri Hilson Featuring Lil Wayne,Turnin Me On,Mischievous,Hits
430,Keri Hilson Featuring Lil Wayne,Turnin Me On,Playful,Hits
431,Keri Hilson Featuring Lil Wayne,Turnin Me On,Seduction,Hits
432,Keri Hilson Featuring Lil Wayne,Turnin Me On,Sex,Hits
433,Boys Like Girls Featuring Taylor Swift,Two Is Better Than One,Affection/Fondness,Hits
434,Boys Like Girls Featuring Taylor Swift,Two Is Better Than One,Summer,Hits
435,Carrie Underwood,Undo It,Breakup,Hits
436,Carrie Underwood,Undo It,Heartache,Hits
437,Carrie Underwood,Undo It,New Love,Hits
438,The Veronicas,Untouched,Cool & Cocky,Hits
439,The Veronicas,Untouched,Girls Night Out,Hits
440,The Veronicas,Untouched,Partying,Hits
441,Kings Of Leon,Use Somebody,In Love,Hits
442,Kings Of Leon,Use Somebody,Late Night,Hits
443,Coldplay,Viva La Vida,Introspection,Hits
444,Coldplay,Viva La Vida,Reflection,Hits
445,3OH!3,Don't Trust Me,Cool & Cocky,Hits
446,3OH!3,Don't Trust Me,Mischievous,Hits
447,3OH!3,Don't Trust Me,Jealousy,Hits
448,3OH!3,Don't Trust Me,Partying,Hits
449,3OH!3,Don't Trust Me,Seduction,Hits
450,3OH!3,Don't Trust Me,Sex,Hits
451,Miranda Lambert,The House That Built Me,Reflection,Hits
452,Paramore,The Only Exception,In Love,Hits
453,David Guetta Featuring Usher,Without You,Feeling Blue,Hits
454,David Guetta Featuring Usher,Without You,Happiness,Hits
455,David Guetta Featuring Usher,Without You,In Love,Hits
456,Britney Spears,Womanizer,Freedom,Hits
