_id	artists	audio_features.acousticness	audio_features.analysis_url	audio_features.danceability	audio_features.duration_ms	audio_features.energy	audio_features.id	audio_features.instrumentalness	audio_features.key	audio_features.liveness	audio_features.loudness	audio_features.mode	audio_features.speechiness	audio_features.tempo	audio_features.time_signature	audio_features.track_href	audio_features.type	audio_features.uri	audio_features.valence	name	tags	type	class
5def6aa254d79fcf0de3ec90	Lee Ann Womack	0.794	https://api.spotify.com/v1/audio-analysis/5DWmvAL8WPuncj8tSxFVNC	0.335	195467	0.584	5DWmvAL8WPuncj8tSxFVNC	0.000195	6	0.0869	-7.089	1	0.0341	78.509	4	https://api.spotify.com/v1/tracks/5DWmvAL8WPuncj8tSxFVNC	audio_features	spotify:track:5DWmvAL8WPuncj8tSxFVNC	0.332	Last Call	"['Breakup', 'Heartache', 'Reflection', 'Regret', 'Drinking', 'In Love']"	Non-hit	Love
5def6aa254d79fcf0de3ec92	Michael Jackson & Justin Timberlake	0.132	https://api.spotify.com/v1/audio-analysis/48td6xvpokdYwvbl3JIiXP	0.775	246027	0.719	48td6xvpokdYwvbl3JIiXP	0.00000179	7	0.0662	-6.212	0	0.0435	117.513	4	https://api.spotify.com/v1/tracks/48td6xvpokdYwvbl3JIiXP	audio_features	spotify:track:48td6xvpokdYwvbl3JIiXP	0.712	Love Never Felt So Good	"['Affection/Fondness', 'In Love', 'Passion']"	Hit	Love
5def6aa254d79fcf0de3ec93	Rascal Flatts	0.42	https://api.spotify.com/v1/audio-analysis/5YSW99IUAIiAj243jF7PBO	0.431	243787	0.584	5YSW99IUAIiAj243jF7PBO	0	2	0.142	-6.025	1	0.0336	146.176	4	https://api.spotify.com/v1/tracks/5YSW99IUAIiAj243jF7PBO	audio_features	spotify:track:5YSW99IUAIiAj243jF7PBO	0.181	Here Comes Goodbye	"['Breakup', 'Heartache', 'Regret', 'In Love']"	Non-hit	Love
5def6aa254d79fcf0de3ec94	Boys Like Girls	0.00177	https://api.spotify.com/v1/audio-analysis/20X9OeC606XNwEtDBOym5u	0.44	226707	0.976	20X9OeC606XNwEtDBOym5u	0.00000339	10	0.16	-3.17	1	0.141	150.005	4	https://api.spotify.com/v1/tracks/20X9OeC606XNwEtDBOym5u	audio_features	spotify:track:20X9OeC606XNwEtDBOym5u	0.412	Love Drunk	"['Day Driving', 'Summer', 'Breakup', 'Hanging Out', 'Heartache']"	Hit	Breakup
5def6aa254d79fcf0de3ec96	Dierks Bentley	0.141	https://api.spotify.com/v1/audio-analysis/19DnL1HnJiijuEfaiS0Eus	0.624	184160	0.915	19DnL1HnJiijuEfaiS0Eus	0	5	0.386	-2.627	0	0.0364	108.046	3	https://api.spotify.com/v1/tracks/19DnL1HnJiijuEfaiS0Eus	audio_features	spotify:track:19DnL1HnJiijuEfaiS0Eus	0.815	Sideways	"['Drinking', 'Late Night', 'Seduction', 'Partying', 'Sex']"	Non-hit	Love
5def6aa254d79fcf0de3ec98	Reba	0.098	https://api.spotify.com/v1/audio-analysis/0fNCLvSVUEK7NTwhu5vk5B	0.587	218053	0.732	0fNCLvSVUEK7NTwhu5vk5B	0	8	0.0917	-3.851	1	0.0296	97.031	4	https://api.spotify.com/v1/tracks/0fNCLvSVUEK7NTwhu5vk5B	audio_features	spotify:track:0fNCLvSVUEK7NTwhu5vk5B	0.453	Consider Me Gone	"['Breakup', 'D-I-V-O-R-C-E', 'Heartache', 'Regret']"	Non-hit	Breakup
5def6aa254d79fcf0de3ec99	Plain White T's	0.566	https://api.spotify.com/v1/audio-analysis/5VWmMZCfJ4yVkJw9ZLFXej	0.458	198360	0.55	5VWmMZCfJ4yVkJw9ZLFXej	0.0000139	2	0.108	-7.092	1	0.0262	90.56	4	https://api.spotify.com/v1/tracks/5VWmMZCfJ4yVkJw9ZLFXej	audio_features	spotify:track:5VWmMZCfJ4yVkJw9ZLFXej	0.56	"1, 2, 3, 4"	"['Summer', 'In Love', 'Sunday Afternoon']"	Non-hit	Love
5def6aa254d79fcf0de3ec9a	Easton Corbin	0.0795	https://api.spotify.com/v1/audio-analysis/7LrZ3SczM7zlUkVlhevPp2	0.64	172227	0.6	7LrZ3SczM7zlUkVlhevPp2	0.0000015	11	0.106	-8.534	1	0.0318	84.969	4	https://api.spotify.com/v1/tracks/7LrZ3SczM7zlUkVlhevPp2	audio_features	spotify:track:7LrZ3SczM7zlUkVlhevPp2	0.593	A Little More Country Than That	"['In Love', 'Relaxation', 'Romantic Evening']"	Non-hit	Love
5def6aa254d79fcf0de3ec9d	Chris Young	0.44	https://api.spotify.com/v1/audio-analysis/28Sc21lrWcZD9Ov4rRkPJq	0.639	212133	0.678	28Sc21lrWcZD9Ov4rRkPJq	0.00000145	7	0.221	-5.02	1	0.0278	106.966	4	https://api.spotify.com/v1/tracks/28Sc21lrWcZD9Ov4rRkPJq	audio_features	spotify:track:28Sc21lrWcZD9Ov4rRkPJq	0.531	Gettin' You Home	"['Dinner Ambiance', 'In Love', 'Relaxation', 'Romantic Evening']"	Non-hit	Love
5def6aa254d79fcf0de3ec9e	Rob Thomas	0.0159	https://api.spotify.com/v1/audio-analysis/3LtwmK1OfN0dGs9jf3qSjn	0.555	280000	0.924	3LtwmK1OfN0dGs9jf3qSjn	0	7	0.075	-4.93	1	0.0604	87.606	4	https://api.spotify.com/v1/tracks/3LtwmK1OfN0dGs9jf3qSjn	audio_features	spotify:track:3LtwmK1OfN0dGs9jf3qSjn	0.865	Her Diamonds	"['Guys Night Out', 'Late Night', 'New Love', 'Reflection']"	Hit	Love
